JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
49.2,87.1,29.2,2.3,528.8,517.5,365.1,481.1,332.6,388.5,558.2,33.6,
0,159.8,12.2,0,446.1,537.1,228.9,753.7,666.2,197.2,359,160.5,
12.7,144,0,1,235.1,479.9,728.4,326.7,339,181.2,284.4,225,
9.4,14.7,0,202.4,304.5,495.1,502,160.1,820.4,222.2,308.7,40.1,
1.3,0,3.3,26.9,279.5,628.7,368.7,330.5,297,260.7,25.4,344.7,
36.6,0,0,0,556.1,733.3,247.7,320.5,164.3,267.8,128.9,79.2,
110.7,0,113.3,21.6,616.3,305.2,443.9,377.6,200.4,264.4,648.9,245.6,
20.9,85.1,0,29,562,693.6,481.4,699.9,428.8,170.7,208.1,196.9,
26.6,22.7,206.3,89.3,224.5,472.7,264.3,337.4,626.6,208.2,267.3,153.5,
0,8.4,0,122.5,327.3,649,253,187.1,464.5,333.8,94.5,247.1,
583.7,0.8,0,21.9,140.7,549.8,468.9,370.3,386.2,318.7,117.2,2.3,
84.8,0.5,1.3,2.5,190.7,530,280.8,205.8,580.1,288.8,133,67.5,
0,0,0,37.7,298.8,383.3,792.8,520.5,310.8,139.8,184.4,289.7,
45,56.7,33.3,40.9,170.2,334.7,269,317.2,429.8,468.1,258.4,318,
0,0,0,0.5,487.4,450.1,317.3,425,561.2,369.7,192.6,133.7,
65.39333333,38.65333333,26.59333333,39.9,357.8666667,517.3333333,400.8133333,387.56,440.5266667,271.9866667,251.2666667,169.16,
